	TOKA-006-10	TOKA-006-40	TOKA-007-10	TOKA-007-40	TOKA-013-10	TOKA-013-40	TOKA-016-10	TOKA-016-40	TOKA-018-10	TOKA-018-40	TOKA-022-10	TOKA-022-40	TOKA-029-10	TOKA-029-40	TOKA-030-10	TOKA-030-40	TOKA-034-10	TOKA-034-40	TOKA-041-10	TOKA-041-40	TOKA-055-10	TOKA-055-40	TOKA-057-10	TOKA-057-40	TOKA-060-10	TOKA-060-40	TOKA-061-10	TOKA-061-40	TOKA-064-10	TOKA-064-40	TOKA-067-10	TOKA-067-40	TOKA-068-10	TOKA-068-40	TOKA-080-10	TOKA-080-40	TOKA-089-10	TOKA-089-40	TOKA-099-10	TOKA-099-40	TOKA-104-10	TOKA-104-40	TOKA-111-10	TOKA-111-40	TOKA-115-10	TOKA-115-40	TOKA-119-10	TOKA-119-40	TOKA-126-10	TOKA-126-40	TOKA-129-10	TOKA-129-40	TOKA-135-10	TOKA-135-40	TOKA-137-10	TOKA-137-40	TOKA-169-10	TOKA-169-40	TOKA-170-10	TOKA-170-40
TOKA-006-10	0.0	0.5057466702199441	0.5151173008814209	0.5454784569839218	0.734968631523322	0.6953086033976119	0.6821408456987359	0.6404749409603778	0.7106979837368882	0.6622704746931253	0.769977679198925	0.6590993973775324	0.698792201432291	0.6780221793531561	0.6640166782487839	0.6558917886771866	0.8399358235794506	0.7341038505166566	0.6878340497103346	0.7022449596594917	0.7478123896384907	0.6619979619161643	0.7090477563604907	0.6528579939934098	0.7930358665178454	0.7380521568645415	0.7895723283468722	0.7195768987627562	0.7558952147804072	0.7238481944670023	0.7949629249659935	0.7584277354532406	0.78554518564688	0.6789999678061748	0.7378759800427656	0.6398786187794671	0.8172478368677498	0.8096396265860777	0.9970516393530823	0.6735188688118553	0.6538129924186116	0.6161969132680429	0.6018477334719491	0.6240044433266264	0.7392592445308267	0.6605938564385848	0.7192650201545093	0.6571103913066193	0.832648537386692	0.7541949039685123	0.782320300129809	0.7149000065284095	0.7704464987329925	0.7321444205144368	0.7290868046682	0.744597927972373	0.6442744684304496	0.6331561780068885	0.7512973782849204	0.6587265330983924
TOKA-006-40	0.5057466702199441	0.0	0.5506764409118052	0.4013911089990064	0.7139277905808663	0.5504748464412543	0.6782981196654791	0.622430424031159	0.6766807064901217	0.4915689375423607	0.7558964567014559	0.49980696018492726	0.6504489258684718	0.46764897300393093	0.6219522616568542	0.435678391959799	0.8530055924047341	0.645129679231724	0.5590797432033524	0.5117025163264374	0.776219993725592	0.4666962542162258	0.7236255412993325	0.49665736695267676	0.7110227170769013	0.6340228657858445	0.7456556233152994	0.5681794669352863	0.7059987149585903	0.5147518004989619	0.734125642713541	0.6718331386961599	0.787969670728874	0.5468828152911754	0.7531754847081853	0.5227139428171499	0.7876721858911925	0.7697503141725621	0.9943270971635486	0.5117279302136348	0.6276182566239552	0.45623751409300395	0.580722342486043	0.4540654217447488	0.7135028411827025	0.5180061503758073	0.7107297340595963	0.5618832816464618	0.8185066977465778	0.6551534004871947	0.7845624458015831	0.6002234901715118	0.7368897663140276	0.5798085395286275	0.6605647647328252	0.6002046016243839	0.5560869970879841	0.48731900111656595	0.7301681245485916	0.5097471672541408
TOKA-007-10	0.5151173008814209	0.5506764409118052	0.0	0.5045020297286573	0.6397758979582798	0.6800434074877917	0.5523577730453301	0.5823611950988968	0.6103091208659313	0.636521502924941	0.6764648786717752	0.6251139924915402	0.5824692591865508	0.6581263792162857	0.5209614142269796	0.620634563215063	0.7759039812991401	0.6653065827378695	0.6098433524715607	0.6908960327584174	0.6269512940696964	0.6126257804513311	0.576926763561883	0.6349938313913639	0.7038886965024139	0.6954172876304023	0.7062881280649752	0.6527374049636773	0.6552967794088806	0.7124270109921569	0.7367819497946916	0.7442307849734359	0.694347328054186	0.6285430176524082	0.6393741203742032	0.6027905457430178	0.755395799221959	0.7606342921286582	0.9963725614047753	0.591222528588427	0.4728059754482269	0.5510930112811872	0.44592559267662935	0.5748429842337487	0.6235860167441181	0.600713147076097	0.5910128536652364	0.5776677172444845	0.7143121185572917	0.6988593933009991	0.6553431668989211	0.6419116993870481	0.6396093401580151	0.6966545286258845	0.6301157437789542	0.7191428403048202	0.5557033309926944	0.5808160476435507	0.6083462220914896	0.6030927068619434
TOKA-007-40	0.5454784569839218	0.4013911089990064	0.5045020297286573	0.0	0.7424281284245378	0.5774209012464045	0.7008461603877881	0.6412965960323219	0.678322561388605	0.506022873727687	0.7795300898893258	0.5077193677608276	0.6648872851722342	0.5225910664588381	0.6404481378776211	0.4728875263460433	0.8618254339479108	0.6333422934250846	0.5845648604269293	0.5512613942378114	0.7966069101087584	0.509800303980742	0.7523804488619842	0.5231132320440395	0.7372186192512872	0.6367318903115589	0.752403550732173	0.6070781423908894	0.7427307048028602	0.6027862321274474	0.7383625205807514	0.6683018900007652	0.8139624649217063	0.5371940277397169	0.767932764349469	0.5131055116728958	0.8084318383946354	0.7845855377442998	0.9966190317064062	0.5305089741092079	0.6529628767988301	0.41544042160016426	0.5791321256780269	0.44195411222021325	0.7450687188669721	0.5479189198618428	0.7204928985005197	0.5885415058570714	0.8253998003388884	0.649455879356022	0.8059619755204863	0.5866006086059905	0.7479975013916569	0.6338400974470721	0.6717809974725001	0.6189737746616047	0.5942902920399097	0.5300458735713847	0.7553122923917462	0.4961414507314896
TOKA-013-10	0.734968631523322	0.7139277905808663	0.6397758979582798	0.7424281284245378	0.0	0.5737766672107887	0.5005865341060872	0.5115858148609496	0.4757506065507481	0.6329167034714248	0.4475774331099761	0.620127643310768	0.5093867711315353	0.6747457199697385	0.5288452785350498	0.6720123839009288	0.6272220822485373	0.631021262583498	0.4979683822549847	0.6661591027259898	0.6266802134790783	0.6895323571091166	0.5036114527220134	0.6585638659574333	0.5405225170459959	0.6664109485248851	0.5311630950433502	0.6122915870262005	0.5649835089301725	0.7285121383963014	0.5805177834172948	0.6944439377633475	0.5500659960857494	0.6518877793628151	0.6095386407674659	0.6256095692465381	0.5924688326153763	0.6703257733288199	0.9915384615384616	0.6101302098881356	0.55234568028067	0.6906387852052935	0.5645608834705863	0.6546498652804615	0.4850030921459493	0.6079828269856298	0.5005802583224087	0.5379567793417582	0.5888503729169806	0.6817928196544089	0.5321396227900933	0.6371231449207662	0.4903206691432869	0.7164262056562937	0.41974973850385466	0.6646264451569027	0.5556654860829706	0.634708966766004	0.4147591464071147	0.6109265996390238
TOKA-013-40	0.6953086033976119	0.5504748464412543	0.6800434074877917	0.5774209012464045	0.5737766672107887	0.0	0.6928456893316502	0.5972478603792583	0.5204767197727553	0.38530551286768683	0.6787540998646758	0.45614350512921936	0.5876475751807395	0.41289199562908746	0.6424512088895167	0.4233144434757338	0.8046446813296538	0.48891395943176846	0.388042650418888	0.3683242143998451	0.8007042978173627	0.5167991530775231	0.7233740607349025	0.48737121245054993	0.5722732160945289	0.4548636647148084	0.6217458501435138	0.41131701812864485	0.6208772182177542	0.5230323595133659	0.6359016362925595	0.5422048797990671	0.7780267059007111	0.5020844238390787	0.7785236460938864	0.5092385755230874	0.6551344737896039	0.6266077911676213	0.9968927437743104	0.41062961327025316	0.6431672086515919	0.49570409203436727	0.6105535595330399	0.4522875607712546	0.662158334513525	0.48629196501801625	0.6937489462148035	0.5304517482610932	0.7790540404952542	0.5277854053682982	0.737173908839512	0.4719399027839152	0.6654158428714252	0.5072428982260566	0.4820648842747032	0.3974753431876929	0.5544770686726522	0.49022897932696763	0.6694294281611622	0.4120979319442828
TOKA-016-10	0.6821408456987359	0.6782981196654791	0.5523577730453301	0.7008461603877881	0.5005865341060872	0.6928456893316502	0.0	0.48471540195805923	0.5609058675511838	0.6757702656227873	0.47868841956907043	0.6151626531270925	0.46959174401246184	0.6832843672609251	0.4604025654113313	0.6821009837832982	0.6704697402058476	0.695293915950539	0.5989122700010165	0.7409623675229028	0.5195851921254645	0.622958718811326	0.41616654459999897	0.647236706699398	0.6221431856249025	0.7216343663010739	0.598037737271682	0.6669435171441891	0.6256635447870925	0.752581567223753	0.6788617886178862	0.756036967949805	0.4663852440267005	0.6131483375057297	0.4705946004436509	0.5815817469068935	0.6995323541782051	0.7763975155279503	0.9921475172871821	0.6123866573054688	0.5026719996213287	0.6668745979453791	0.4992400363150432	0.6367403383873432	0.4561596748770344	0.5882511546189105	0.40810608153439365	0.5185105453829736	0.594314821527367	0.7026000845555953	0.5766094537776888	0.6696680879525123	0.5201993448402995	0.7522141749229715	0.5340203468184652	0.7357969409158398	0.47475158150498287	0.5703927228199073	0.3788993002016368	0.6159126058417946
TOKA-016-40	0.6404749409603778	0.622430424031159	0.5823611950988968	0.6412965960323219	0.5115858148609496	0.5972478603792583	0.48471540195805923	0.0	0.5128979718724868	0.5848226045319113	0.5789060308555399	0.5644002700638635	0.5320512480999116	0.6048102199331518	0.5735784773251887	0.5956004418077078	0.7226770923696688	0.6525560055332653	0.5560998298488657	0.6553721248504162	0.6236463607840701	0.6190012760865355	0.5688783027207543	0.5824957497449847	0.6672726407462047	0.6818790542996112	0.6171342539379321	0.603210377382115	0.6738269558410462	0.6912251754606215	0.6811428287001319	0.7108651651522329	0.637796512857704	0.6077241158617379	0.6149019558183856	0.5542269654131977	0.7201849489795918	0.7395340371314161	0.991946699868869	0.5782060274350631	0.5781183897946565	0.6329547685146238	0.54545400807467	0.576303831338085	0.5634412230525153	0.5625618674743296	0.5403051967626166	0.47224596881172065	0.6806891332261877	0.6663547861488537	0.6442633235341391	0.6317978231894843	0.6236213543011833	0.7015658174097664	0.5372913585463766	0.6725213749028414	0.5373923301208573	0.5852187402425546	0.5341430468558531	0.5237082432107666
TOKA-018-10	0.7106979837368882	0.6766807064901217	0.6103091208659313	0.678322561388605	0.4757506065507481	0.5204767197727553	0.5609058675511838	0.5128979718724868	0.0	0.47609876059587153	0.5510929119326374	0.5482255257844812	0.4553654620066213	0.5465995240382757	0.5392730592916042	0.55847272815877	0.7344359425598702	0.5478040364507949	0.44930913387377336	0.6112362834768418	0.649655013799448	0.5918959517078587	0.5941794940322186	0.5377558353904321	0.5941101324547838	0.5757323506304014	0.5048366435005397	0.4912129336352108	0.6071258322130036	0.6802356870599593	0.6719221957263758	0.6630382872126657	0.644263856974724	0.5411669687549892	0.6188737536862801	0.5487951650298278	0.6814595094004323	0.6748899471852436	0.9945061156202664	0.5233677362054113	0.605237687431273	0.5996131123542636	0.5466574427900031	0.5332363971949329	0.54099094061067	0.5568373298768633	0.5117116735351138	0.4687502102154624	0.6934948964172164	0.5852731550507183	0.6633857693914632	0.5452342272763588	0.4990610096060744	0.6209275225138744	0.4696132596685083	0.6356537136342311	0.5153751537515375	0.5538573304646679	0.5094417730790052	0.4834257685125833
TOKA-018-40	0.6622704746931253	0.4915689375423607	0.636521502924941	0.506022873727687	0.6329167034714248	0.38530551286768683	0.6757702656227873	0.5848226045319113	0.47609876059587153	0.0	0.6974125368145363	0.3713024241780471	0.5276625296034474	0.3175598491942482	0.5890421485380566	0.3543678419043342	0.8146680318031069	0.5244848918656373	0.4038156730423283	0.4115842250991544	0.7629075534596309	0.39732575687319266	0.6995244684866021	0.38253161926738444	0.6042267207136148	0.47111907256565383	0.5950023062104892	0.39151466805753704	0.658931596402071	0.5295588937632629	0.665084018349709	0.5537092860819057	0.7632716325374825	0.40807205312391337	0.7304405268155733	0.42865655799142455	0.7118561729906816	0.6951667241550391	0.9979160303972118	0.3859854028517355	0.6375344568420958	0.44480558902369544	0.588760975609756	0.3442585344172509	0.6553564759571154	0.4200281308082584	0.6486841483581385	0.48984672430781073	0.7732959933289795	0.5125093162829012	0.7397574135774938	0.43684265669452527	0.6323889086239491	0.47816575310832654	0.5339763453061581	0.4503127643118507	0.512964810132455	0.42979318007727335	0.665262540112267	0.3361909140797651
