	shannon
TOKA-006-10	7.9145471780539465
TOKA-006-40	8.14823998629055
TOKA-007-10	8.693597531519934
TOKA-007-40	7.830506398926247
TOKA-013-10	8.804373508740301
TOKA-013-40	7.723350877180681
TOKA-016-10	8.750234513077022
TOKA-016-40	8.098260590434048
TOKA-018-10	7.811845286572057
TOKA-018-40	7.7856497487177325
TOKA-022-10	8.940232375231602
TOKA-022-40	7.537404696862764
TOKA-029-10	9.008449883096537
TOKA-029-40	8.25976746225315
TOKA-030-10	9.1868071490494
TOKA-030-40	7.540169064344316
TOKA-034-10	8.658185563714024
TOKA-034-40	7.574692510214799
TOKA-041-10	8.01424099195238
TOKA-041-40	7.556504436919123
TOKA-055-10	8.643706134862029
TOKA-055-40	8.128287306664134
TOKA-057-10	9.092301914193053
TOKA-057-40	7.4356735914324945
TOKA-060-10	8.65569842792251
TOKA-060-40	8.146860955167938
TOKA-061-10	8.438459128247553
TOKA-061-40	8.134794560905908
TOKA-064-10	8.882008134630139
TOKA-064-40	8.350798694466704
TOKA-067-10	8.793999838021644
TOKA-067-40	7.483909899711033
TOKA-068-10	9.077174884727794
TOKA-068-40	8.065296337807387
TOKA-080-10	8.834697198977722
TOKA-080-40	7.995809226753056
TOKA-089-10	9.12663843062356
TOKA-089-40	8.502587351612243
TOKA-099-10	1.3454416028663134
TOKA-099-40	7.676663948912836
TOKA-104-10	8.877207948949316
TOKA-104-40	7.70231934964123
TOKA-111-10	8.419827272261157
TOKA-111-40	7.782487462181289
TOKA-115-10	9.380329571693654
TOKA-115-40	8.449573497677546
TOKA-119-10	8.527544796613316
TOKA-119-40	8.396149355509408
TOKA-126-10	8.846112197461194
TOKA-126-40	7.847522984748567
TOKA-129-10	9.046896760895583
TOKA-129-40	8.304218706355853
TOKA-135-10	9.226680953041956
TOKA-135-40	8.447845610489866
TOKA-137-10	8.595535740767236
TOKA-137-40	7.209742922875054
TOKA-169-10	8.640199289667837
TOKA-169-40	8.620857217783456
TOKA-170-10	8.870729384665795
TOKA-170-40	7.716384524061748
