"TomKat soil samples collected January-April 2018, following RMN protocol. ",,,,,,,,,,,*See 10-40 cm samples for texture,,,,,,,,"^As of Nov 2018, need to get rest of total N values (NA) from Idaho",,
"Dataset includes 30 grassland points and 10 scrub points, totaling 40 points overall",,,,,,,,,,,,,,,,,,,,,
C/N and Texture Samples were Processed at U of Idaho,,,,,,,,,,,,,,,,,,,,,
The Rest of the Analysis were Processed at Ward Labs in the same way as 2015,,,,,,,,,,,,,,,,,,,,,
"Scrub points were resampled for RMN metrics, but not additional soil health metrics",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,Units:,g/cm3,min,in/hr,ug/g,%,,,,,cmol(+)/kg,,,,,%,,# exact sequence variants ,# exact sequence variants 
Point ID ,Collect Date 1 (RMN metrics),Collect Date 2 (additional metrics),Depth (cm),Bulk Density,Water Infiltration (T2),Water Infiltration (T2),Olsen P,Sand,Silt,Clay,Texture*,pH,CEC (estimated),Calcium,Magnesium,Potassium,Sodium,Total Org Carbon,Total Nitrogen^,Bacterial Richness,Fungal Richness
TOKA-001,1/18/2018,4/11/2018-4/14/2018,0 to 10,1.247033948,3.762217077,15.94804,NA,NA,NA      ,NA      ,NA      ,NA: Scrub,,,,,,2.2,0.20,NA,NA
TOKA-006,1/18/2018,4/11/2018-4/14/2018,0 to 10,1.241834922,31.23443283,1.92096,10.3,NA,NA      ,NA      ,NA      ,5.6,19.6,4.29,3.77,0.5769230769,0.28,3.1,0.28,989.7,253.9
TOKA-007,1/18/2018,4/11/2018-4/14/2018,0 to 10,1.3523438,15.08571111,3.97727,8.6,NA,NA      ,NA      ,NA      ,5.8,18.7,4.27,4.61,0.5358974359,0.32,2.3,0.22,1320.4,256.8
TOKA-013,2/13/2018,4/11/2018-4/14/2018,0 to 10,1.090387791,2.736982593,21.92195,6.8,NA,NA      ,NA      ,NA      ,6.1,30.4,11.60,8.49,0.8205128205,0.31,4.1,NA,1159.5,316.5
TOKA-016,2/6/2018,4/11/2018-4/14/2018,0 to 10,1.046657406,7.903191494,7.59187,7.3,NA,NA      ,NA      ,NA      ,5.8,37.4,10.04,16.13,1.205128205,0.43,2.8,0.29,1268.4,302.6
TOKA-018,2/6/2018,4/11/2018-4/14/2018,0 to 10,1.162445023,4.880455273,12.29394,5.3,NA,NA      ,NA      ,NA      ,6.1,25.3,8.49,9.18,0.6717948718,0.41,3.1,0.28,919.5,310.6
TOKA-020,1/23/2018,4/11/2018-4/14/2018,0 to 10,1.011934174,4.565023693,13.14341,,NA,NA      ,NA      ,NA      ,NA: Scrub,,,,,,3.9,NA,NA,NA
TOKA-022,2/5/2018,4/11/2018-4/14/2018,0 to 10,1.049234901,8.351223339,7.18458,42.7,NA,NA      ,NA      ,NA      ,6.6,28,14.24,12.21,1.158974359,0.38,3.6,0.35,1328.4,344.1
TOKA-029,2/6/2018,4/11/2018-4/14/2018,0 to 10,1.129157715,2.163443114,27.73357,6.1,NA,NA      ,NA      ,NA      ,6,26.2,8.90,8.83,0.7461538462,0.38,3.7,0.30,1531.6,441.9
TOKA-030,2/5/2018,4/11/2018-4/14/2018,0 to 10,1.156701331,6.286067753,9.54492,14.8,NA,NA      ,NA      ,NA      ,5.9,23.2,7.08,5.92,0.8794871795,0.25,4.1,0.35,1634.3,410.4
TOKA-034,2/9/2018,4/11/2018-4/14/2018,0 to 10,1.029977905,70.49651419,0.85111,42.4,NA,NA      ,NA      ,NA      ,6.2,34.9,15.11,10.43,0.9948717949,0.42,4.9,NA,1219.2,367.1
TOKA-035,1/22/2018,4/11/2018-4/14/2018,0 to 10,NA,0.8545837767,70.20962,NA,NA,NA      ,NA      ,NA      ,NA: Scrub,,,,,,4.1,NA,NA,NA
TOKA-041,1/30/2018,4/11/2018-4/14/2018,0 to 10,1.126024792,2.407993432,24.91701,8.5,NA,NA      ,NA      ,NA      ,6.1,21.6,8.78,5.14,0.6666666667,0.20,3,0.32,1122.1,358.5
TOKA-045,1/23/2018,4/11/2018-4/14/2018,0 to 10,0.8930136333,0.8670804917,69.19773,NA,NA,NA      ,NA      ,NA      ,NA: Scrub,,,,,,4.6,NA,NA,NA
TOKA-055,1/30/2018,4/11/2018-4/14/2018,0 to 10,1.206481057,4.288182471,13.99194,12.8,NA,NA      ,NA      ,NA      ,5.7,23,6.94,4.43,0.7512820513,0.19,3.4,0.37,1166.1,335.9
TOKA-057,1/12/2018,4/11/2018-4/14/2018,0 to 10,1.136623704,7.309833008,8.20812,6,NA,NA      ,NA      ,NA      ,5.8,22.6,8.36,5.83,0.5256410256,0.33,3,0.33,1434.2,317.8
TOKA-060,2/6/2018,4/11/2018-4/14/2018,0 to 10,1.232959889,2.375498281,25.25786,11.4,NA,NA      ,NA      ,NA      ,6.1,29.5,13.66,7.57,0.9769230769,0.28,4,0.35,1625.7,280.8
TOKA-061,1/29/2018,4/11/2018-4/14/2018,0 to 10,1.053908033,4.439779614,13.51418,6.9,NA,NA      ,NA      ,NA      ,6.4,24.9,10.70,7.68,0.8487179487,0.24,2.7,NA,1231,207.8
TOKA-064,1/17/2018,4/11/2018-4/14/2018,0 to 10,0.8410636102,0.7865527265,76.28224,16.1,NA,NA      ,NA      ,NA      ,5.2,26.2,8.45,4.31,1.217948718,0.16,7.8,0.63,1346.3,428.6
TOKA-067,1/12/2018,4/11/2018-4/14/2018,0 to 10,0.8380232931,1.757944208,34.13078,13.8,NA,NA      ,NA      ,NA      ,6.5,44.4,21.82,16.34,0.7871794872,0.44,3.5,0.38,1529.9,274.5
TOKA-068,1/12/2018,4/11/2018-4/14/2018,0 to 10,1.156831869,10.80634905,5.55229,23.9,NA,NA      ,NA      ,NA      ,6.4,29.6,13.49,9.75,0.6717948718,0.40,3.1,0.35,1364.3,353.1
TOKA-071,1/16/2018,4/11/2018-4/14/2018,0 to 10,0.7334122278,0.5127530472,117.01539,NA,NA,NA      ,NA      ,NA      ,NA: Scrub,,,,,,8.1,0.58,NA,NA
TOKA-072,1/16/2018,4/11/2018-4/14/2018,0 to 10,1.045090944,0.7082190785,84.71955,NA,NA,NA      ,NA      ,NA      ,NA: Scrub,,,,,,4.4,0.37,NA,NA
TOKA-080,1/12/2018,4/11/2018-4/14/2018,0 to 10,1.012229583,3.699545189,16.21821,5.1,NA,NA      ,NA      ,NA      ,5.8,29.3,9.52,8.59,0.5717948718,0.23,3.2,0.35,1328.1,275.3
TOKA-089,1/26/2018,4/11/2018-4/14/2018,0 to 10,1.014221144,1.357901528,44.18583,34.3,NA,NA      ,NA      ,NA      ,5.2,36,18.74,6.99,1.376923077,0.10,4.5,0.38,1663.6,368.9
TOKA-091,1/16/2018,4/11/2018-4/14/2018,0 to 10,0.9039497795,0.7303313587,82.15449,NA,NA,NA      ,NA      ,NA      ,NA: Scrub,,,,,,3.7,0.35,NA,NA
TOKA-099,1/26/2018,4/11/2018-4/14/2018,0 to 10,1.039953187,2.067882031,29.01519,11.4,NA,NA      ,NA      ,NA      ,6.1,25.1,9.50,6.56,0.8769230769,0.12,2.7,0.29,NA,NA
TOKA-104,1/18/2018,4/11/2018-4/14/2018,0 to 10,1.195732332,25.39629465,2.36255,7.6,NA,NA      ,NA      ,NA      ,5.7,19.4,5.07,3.87,0.3974358974,0.20,2.6,0.23,1492.5,307.8
TOKA-111,2/12/2018,4/11/2018-4/14/2018,0 to 10,1.146607967,7.10324887,8.44684,13.3,NA,NA      ,NA      ,NA      ,6,19.4,5.47,5.56,0.5153846154,0.19,3,NA,1296.3,296.4
TOKA-115,2/15/2018,4/11/2018-4/14/2018,0 to 10,1.021985636,2.68553404,22.34192,6.5,NA,NA      ,NA      ,NA      ,6,27.1,8.05,9.21,0.7179487179,0.35,3.1,NA,1647.8,332.9
