"TomKat soil samples collected January-April 2018, following RMN protocol. ",,,,,,,,,,,,,,,,"^As of Nov 2018, need to get rest of total N values (NA) from Idaho",
"Dataset includes 30 grassland points and 10 scrub points, totaling 40 points overall",,,,,,,,,,,,,,,,,
C/N and Texture Samples were Processed at U of Idaho,,,,,,,,,,,,,,,,,
The Rest of the Analysis were Processed at Ward Labs in the same way as 2015,,,,,,,,,,,,,,,,,
"Scrub points were resampled for RMN metrics, but not additional soil health metrics",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,Units:,ug/g,%,,,,,cmol(+)/kg,,,,,%,,# exact sequence variants 
Point ID ,Collect Date 1 (RMN metrics),Collect Date 2 (additional metrics),Depth (cm),Olsen P,Sand,Silt,Clay,Texture,pH,CEC (estimated),Calcium,Magnesium,Potassium,Sodium,Total Org Carbon,Total Nitrogen^,Bacterial Richness
TOKA-001,1/18/2018,4/11/2018-4/14/2018,10 to 40,NA,60,20,20,"SaClLo, SaLo",NA: Scrub,,,,,,1.5,0.15,NA
TOKA-006,1/18/2018,4/11/2018-4/14/2018,10 to 40,3.8,33.8,43.8,22.5,Lo,5.8,18.9,4.34,4.47,0.38,0.44,2.2,0.21,1068.3
TOKA-007,1/18/2018,4/11/2018-4/14/2018,10 to 40,2.6,32.5,40,27.5,Lo,5.8,24.4,5.06,7.72,0.57,0.69,1.4,0.14,983.3
TOKA-013,2/13/2018,4/11/2018-4/14/2018,10 to 40,8.1,18.8,41.2,40,"SiCl, SiClLo",5.9,32.3,11.99,9.20,0.67,0.41,2.8,NA,914.5
TOKA-016,2/6/2018,4/11/2018-4/14/2018,10 to 40,5.8,52.5,16.2,31.2,SaClLo,5.5,43,10.80,19.61,0.87,0.64,1.4,0.19,864
TOKA-018,2/6/2018,4/11/2018-4/14/2018,10 to 40,2.2,22.5,41.2,36.2,ClLo,6.1,25.8,8.13,8.77,0.45,0.53,2.2,0.21,1081.3
TOKA-020,1/23/2018,4/11/2018-4/14/2018,10 to 40,NA,27.5,36.2,36.2,ClLo,NA: Scrub,,,,,,2.6,NA,NA
TOKA-022,2/5/2018,4/11/2018-4/14/2018,10 to 40,11.3,25,36.2,38.8,ClLo,5.9,33.9,12.05,12.33,0.67,0.60,2.1,0.23,1105.8
TOKA-029,2/6/2018,4/11/2018-4/14/2018,10 to 40,3.3,20,43.8,36.2,ClLo,5.8,28.6,8.73,9.56,0.68,0.45,2.3,0.24,1082.5
