Point ID ,CollectDate,Depth (cm),Bulk Density,Water Infiltration (T2),Water Infiltration (T2),Olsen P,Sand,Silt,Clay,Texture,pH,CEC,Calcium,Magnesium,Potassium,Sodium,Total Org Carbon,Total Nitrogen
TOKA-001,17-Feb-15,0 to 10,1.17,3.88,15.45,4.7,55,26.2,18.8,Sandy Loam,5.8,26,9.3,7.4,0.68,0.17,2.6,0.19
TOKA-006,19-Jan-15,0 to 10,1.29,7.8,7.69,3.8,36.2,46.2,17.5,Loam,5.3,19,5.9,3.7,0.56,0.29,2.9,0.24
TOKA-007,19-Jan-15,0 to 10,1.47,17.49,3.43,3.2,41.2,38.8,20,Loam,5.5,16,4.4,4.3,0.62,0.47,2,0.15
TOKA-013,NA,0 to 10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TOKA-016,19-Jan-15,0 to 10,1.07,0.55,109.09,4.5,23.8,41.2,35,Clay Loam,5.6,43,13,12,1.1,0.47,3.6,0.29
TOKA-018,19-Jan-15,0 to 10,1.38,11.2,5.36,2.8,25,40,35,Clay Loam,5.9,34,11,9.1,0.77,0.58,3.3,0.25
TOKA-020,17-Feb-15,0 to 10,1.1,2.43,24.73,9.6,30,35,35,Clay Loam,5.7,45,19,10,1.1,0.22,4.6,0.35
TOKA-022,19-Jan-15,0 to 10,1.19,4.62,12.99,11,22.5,36.2,41.2,Clay,5.9,44,15,12,0.82,0.56,3.1,0.29
TOKA-029,19-Jan-15,0 to 10,1.03,0.99,60.81,3.5,20,43.8,36.5,Clay Loam,5.3,33,11,8.8,1,0.86,3.7,0.29
TOKA-030,19-Jan-15,0 to 10,1.16,0.94,64.06,8.3,22.5,42.5,35,Clay Loam,5.5,33,9.2,6.3,1.1,0.31,4.5,0.32
TOKA-034,19-Jan-15,0 to 10,0.91,3.36,17.86,34,23.8,37.5,38.8,Clay Loam,5.5,47,18,10,0.92,0.51,5,QNS
TOKA-035,17-Feb-15,0 to 10,1.14,0.89,67.16,11,41.2,30,28.8,Clay Loam,6.3,46,23,10,1.1,0.22,3.5,0.28
TOKA-041,19-Jan-15,0 to 10,1.19,2.9,20.69,10,26.2,40,33.8,Clay Loam,5.6,32,11,5.1,0.99,0.35,3.8,0.36
