"","name","total","mean","sd"
"1","2FA",0.0421527922888701,0.00135976749318936,0.00361786930924177
"2","2FORB",0,0,0
"3","2GA",2.40296470291426,0.0775149904165891,0.0781736634118176
"4","2GP",0.0550013178444551,0.00177423605949855,0.00592927994624224
"5","2GRAM",0.0553359683794466,0.00178503123804667,0.00993863331373458
"6","2LTR",0,0,0
"7","2PLANT",0,0,0
"8","ACMI2",0.019101048554064,0.000616162856582709,0.00270497648240903
"9","ACMO2",0.282822182106084,0.00912329619697044,0.0295463771344469
"10","AGROS2",0,0,0
"11","AICA",0.0902474282681384,0.00291120736348833,0.00593446006575329
"12","ANAR",0.18018133935246,0.00581230126943418,0.00969610967471491
"13","ANCO2",0,0,0
"14","APIACE",0,0,0
"15","ARDO3",0.0210954263128176,0.000680497622994117,0.00313658501453311
"16","ASTERA",0.0104712041884817,0.000337780780273602,0.00188068379085628
"17","AVBA",0.831847858901417,0.0268338019000457,0.0491014442237178
"18","AVENA",0.11062406917496,0.00356851836048259,0.0133673872426441
"19","AVFA",0.236851185937303,0.00764036083668719,0.0197682070609153
"20","BAPI",0,0,0
"21","BETR",0.0273298602497313,0.000881608395152621,0.00397806329297094
"22","BRASSI",0,0,0
"23","BRCA5",0.524735338303803,0.0169269463968969,0.0321914366935742
"24","BRCA6",0.0366723793905804,0.0011829799803413,0.00266231299072122
"25","BRDI2",3.97025067247189,0.128072602337803,0.127363018034544
"26","BRDI3",0.855277466126139,0.0275895956814884,0.0396582235471341
"27","BRHO2",1.1732236588031,0.0378459244775194,0.0424580175693873
"28","BRMI2",0.0226031733197111,0.000729134623216487,0.00173312478476299
"29","CALYS",0,0,0
"30","CAPU18",0.00591715976331361,0.000190876121397213,0.00106275326643062
"31","CAPY2",0.534193052448467,0.0172320339499505,0.0283628262961635
"32","CAREX",0,0,0
"33","CASU4",0.00675675675675676,0.00021795989537925,0.00121354933801875
"34","CEME2",0,0,0
"35","CETE9",0,0,0
"36","CHPO3",0,0,0
"37","CIVU",0.0418844606570345,0.00135111163409789,0.00280162784408815
"38","CLARK",0,0,0
"39","CLDO2",0.0604501878899123,0.00195000606096491,0.00611931406903766
"40","COAR4",0.0329768888311651,0.00106377060745694,0.00376869586909175
"41","COCA5",0.0172085385878489,0.000555114147995127,0.00227462969227573
"42","COMA2",0.785420267032705,0.0253361376462163,0.0697940642632303
"43","COMA5",0,0,0
"44","COSE4",0.027027027027027,0.000871839581517001,0.004854197352075
"45","CREPI",0,0,0
"46","CRSE11",0,0,0
"47","CRVE3",0,0,0
"48","CRVET",0.0871350579931868,0.00281080832236086,0.0104298252013199
"49","CYEC",0.0253781081304017,0.000818648649367797,0.00262091038201254
"50","DACA3",0.496007506939678,0.0160002421593445,0.0535819414966557
"51","DAGL",0.457304153994866,0.0147517469030602,0.0404369017972675
"52","DAPU3",0.0354393985970115,0.00114320640635521,0.00361252783856178
"53","DIFU2",0.00591715976331361,0.000190876121397213,0.00106275326643062
"54","ELGL",0,0,0
"55","EPILO",0,0,0
"56","ERBO",0.0122950819672131,0.000396615547329455,0.00220826191016527
"57","ERCI6",0.0260199346862324,0.000839352731813949,0.00290318537320365
"58","ERLA5",0,0,0
"59","ERODI",0.00520833333333333,0.000168010752688172,0.000935444281389453
"60","ESCA2",0.029043918845537,0.000936900607920547,0.00338155503132843
"61","EUPHO",0,0,0
"62","FESTU",0,0,0
"63","FRVE",0.0108108108108108,0.0003487358326068,0.00194167894083
"64","GAAP2",0.00917431192660551,0.000295945546019532,0.00164775506446582
"65","GACA3",0.00483091787439614,0.000155836060464391,0.000867658463897463
"66","GALIU",0.0111527618575544,0.000359766511534014,0.00139537233652688
"67","GAPH2",0,0,0
"68","GAUS",0,0,0
"69","GEDI",1.05998963411449,0.0341932140036932,0.0315381863835384
"70","HECR2",0.0139739056212657,0.000450771149073087,0.00174567967124118
"71","HOBR2",0.114489489489489,0.00369320933837063,0.0199451404282558
"72","HOCA3",0,0,0
"73","HOLA",0.169638901196278,0.00547222261923478,0.0297165303550568
"74","HOMA2",0.0287073490813648,0.000926043518753704,0.00395577066752118
"75","HOMU",0.0263873626373626,0.000851205246366537,0.00273186685560157
"76","HORDE",0,0,0
"77","HYGL2",0.129793977781187,0.00418690250907054,0.00957511199675904
"78","HYPOC",0,0,0
"79","HYRA3",0.563105517605147,0.0181646941162951,0.0280288604981618
"80","IRDO",0.00675675675675676,0.00021795989537925,0.00121354933801875
"81","JUBU",0.00337837837837838,0.000108979947689625,0.000606774669009375
"82","JUEF",0.177886219552886,0.0057382651468673,0.0297407285603216
"83","JUNCU",0.024390243902439,0.000786782061369001,0.00438061712260427
"84","JUOC2",0.0290455981029752,0.000936954777515327,0.0026345233640994
"85","JUPA2",0.0796425358720441,0.00256911406038852,0.00750135106683857
"86","KIEL",0,0,0
"87","LASE",0,0,0
"88","LAVE2",0,0,0
"89","LEVU",0,0,0
"90","LIBI5",0.92259092028542,0.0297609974285619,0.0231075598584435
"91","LIUS",0,0,0
"92","LOCO3",0,0,0
"93","LOCO6",0.535149940968515,0.017262901321565,0.0244180509929955
"94","LOGA2",0.00636942675159236,0.000205465379083624,0.00114398281545717
"95","LOHU2",0.00636942675159236,0.000205465379083624,0.00114398281545717
"96","LOMA5",0,0,0
"97","LOPEM2",2.10283463261326,0.0678333752455889,0.066971630695946
"98","LOTUS",0,0,0
"99","LOWR2",0.00460829493087558,0.000148654675189535,0.000827674202888364
"100","LUCO6",0.00636942675159236,0.000205465379083624,0.00114398281545717
"101","LUPIN",0,0,0
"102","M",0,0,0
"103","MADIA",0,0,0
"104","MAEX",0.00636942675159236,0.000205465379083624,0.00114398281545717
"105","MAFA3",0.0320314547837484,0.00103327273495962,0.00354777574771581
"106","MASA",0.0519984676286553,0.00167736992350501,0.00847920705149349
"107","MEDIC",0,0,0
"108","MELIC",0,0,0
"109","MELU",0,0,0
"110","MEPO3",0.180141598216132,0.00581101929729459,0.0165438154145503
"111","MYDI",0.00747673903411608,0.000241185130132777,0.000938202576829425
"112","NALE2",0.117401627839672,0.00378714928515071,0.0136497439663322
